aboded : ad, be, od
abodes : ad, be, os
abomasus : amu, bas, os
abominates : amas, bit, one
adenoma : ana, do, em
adulate : ale, da, ut
adulated : ale, dad, ut
aerate : aa, et, re
agonised : ane, gid, os
alexine : axe, li, en
altruism : ars, lum, ti
altruisms : ars, lum, tis
alumin : am, li, un
alunite : ane, li, ut
anxious : ais, no, xu
araneid : and, re, ai
asinine : ane, si, in
atalaya : ala, ta, ay
aurate : aa, ut, re
badinage : big, ane, da
badinaged : big, ane, dad
baseline : ben, ale, si
baselines : ben, ale, sis
bedeman : ben, em, da
bemires : bis, er, me
bemixes : bis, ex, me
benison : bin, es, no
benisons : bin, ess, no
berated : bad, et, re
berates : bas, et, re
berimes : bis, em, re
bewared : bad, er, we
bewares : bas, er, we
biforate : bot, ire, fa
blueing : beg, li, un
bolero : be, or, lo
boraxes : bas, ox, re
borides : bis, od, re
botanise : bas, one, ti
botanises : bas, one, tis
bowered : bed, or, we
cabarets : cat, ars, be
calamar : car, am, la
caponizes : coz, ane, pis
caravaned : can, ave, rad
caromed : cod, am, re
cateresses : cess, ars, tee
cerated : cad, et, re
colonise : cos, one, li
colonised : cos, one, lid
colonize : coz, one, li
colonized : coz, one, lid
colorant : con, ort, la
colorants : con, ort, las
colorist : cos, ort, li
coparent : can, ort, pe
coparents : can, ort, pes
coronets : cot, ons, re
cutenesses : cess, uns, tee
dahabiya : day, aba, hi
dahabiyas : day, aba, his
damosels : dol, ass, me
deairing : din, erg, ai
debase : da, es, be
debased : dad, es, be
debate : da, et, be
debated : dad, et, be
debited : did, et, be
debone : do, en, be
deluging : dun, egg, li
demirep : dip, er, me
demised : did, es, me
demote : do, et, me
depone : do, en, pe
depose : do, es, pe
desiring : din, erg, si
dewaxed : dad, ex, we
edemas : em, da, es
elemis : em, li, es
elevate : eve, la, et
elevates : eve, las, et
embrue : er, mu, be
emeses : es, me, es
emoted : et, me, od
emoter : et, me, or
emotes : et, me, os
eposes : es, pe, os
erased : es, re, ad
eroses : es, re, os
feuars : fa, er, us
filicide : fid, ice, li
foolery : fly, oe, or
foramens : fan, oms, re
forayed : fad, oy, re
forayer : far, oy, re
forefeet : fee, oft, re
foresee : fee, os, re
furane : fa, un, re
galenite : get, ane, li
galopade : god, ape, la
galopades : god, ape, las
gateway : gey, aw, ta
gelatin : gan, et, li
gooiest : git, oe, os
halidom : him, ad, lo
halidoms : him, ads, lo
hamulate : hut, ale, ma
holinesses : hiss, ons, lee
homeland : hen, old, ma
homelands : hen, old, mas
homicidal : hid, oca, mil
hominess : his, ons, me
humates : has, ut, me
ironed : in, re, od
ironer : in, re, or
irones : in, re, os
iterate : ire, ta, et
iterated : ire, tad, et
ixodids : ids, xi, od
jaculated : jut, ale, cad
lamiae : li, aa, me
laminate : lit, ane, ma
laminated : lit, ane, mad
laminates : lit, ane, mas
liberated : let, ire, bad
liberates : let, ire, bas
limina : li, in, ma
limiteds : lid, its, me
literate : let, ire, ta
looies : li, oe, os
louies : li, oe, us
loveliness : lens, ole, vis
lumina : li, un, ma
lupine : li, un, pe
maculated : mut, ale, cad
marinaded : mid, ane, rad
maximum : mim, am, xu
medusa : mu, es, da
medusan : mun, es, da
medusans : mun, ess, da
melamine : man, eme, li
melanin : man, en, li
melanins : man, ens, li
merited : mid, et, re
misedits : met, ids, si
miticide : mid, ice, ti
miticides : mid, ice, tis
modulate : mut, ole, da
modulated : mut, ole, dad
monuron : mun, or, no
muleta : me, ut, la
mutenesses : mess, uns, tee
nabobery : nor, aby, be
nominals : nil, ons, ma
obelises : ole, bis, es
obeyer : oy, be, er
oedema : oe, em, da
omasum : os, mu, am
onenesses : ons, nee, ess
openers : ons, pe, er
operants : ort, pas, en
operetta : ort, pea, et
opuses : os, pe, us
outpreened : oped, urn, tee
overeater : ort, vee, ear
overeaters : orts, vee, ear
paganised : pas, ane, gid
paladin : pan, ad, li
paladins : pan, ads, li
palewise : pes, awe, li
paraded : pad, ad, re
parader : par, ad, re
paraders : par, ads, re
parades : pas, ad, re
patamar : par, am, ta
perinea : pia, en, re
peruser : pur, es, re
perusers : pur, ess, re
polaron : pan, or, lo
pomaded : pad, od, me
pomades : pas, od, me
pupated : pad, ut, pe
pupates : pas, ut, pe
pureness : pes, uns, re
purines : pis, un, re
rebated : rad, et, be
rehiring : rin, erg, hi
relaxin : ran, ex, li
rerisen : rin, es, re
retiring : rin, erg, ti
rewaxed : rad, ex, we
ripened : red, in, pe
salaries : sae, ars, li
saponites : sot, ane, pis
sarode : so, ad, re
satirist : sis, art, ti
satirists : sis, art, tis
selenic : sec, en, li
semina : si, en, ma
seminar : sir, en, ma
seminars : sir, ens, ma
semises : sis, es, me
serener : ser, en, re
serine : si, en, re
serines : sis, en, re
simitars : sir, its, ma
soberer : ser, or, be
solidi : si, od, li
solonetses : sots, ons, lee
striae : si, ta, re
subito : si, ut, bo
supine : si, un, pe
supines : sis, un, pe
tabarets : tat, ars, be
taborers : tor, ars, be
taborets : tot, ars, be
tabulated : tut, ale, bad
tabulates : tut, ale, bas
tamaraus : tau, ars, ma
tatami : ta, am, ti
towered : ted, or, we
tubate : ta, ut, be
unison : us, no, in
ureter : ut, re, er
ureters : uts, re, er
uruses : us, re, us
womanised : was, one, mid
womera : we, or, ma
wooers : we, or, os
