abbey : aby, be
abied : aid, be
abies : ais, be
abye : ay, be
abyes : ays, be
across : ars, cos
adios : ais, do
afreets : ares, fet
agnate : ant, gae
agrafe : arf, gae
airns : ars, in
algae : age, la
alias : ais, la
alienee : aine, lee
allele : all, lee
alleles : alls, lee
allied : ale, lid
allot : alt, lo
alma : am, la
amia : ai, ma
amias : ais, ma
amie : ai, me
amies : ais, me
amreeta : area, met
anion : ain, no
anions : ain, nos
aplite : alt, pie
aplites : alts, pie
apnea : ana, pe
apneas : ana, pes
apses : ass, pe
ariose : ais, roe
arses : ass, re
ascot : act, so
atma : am, ta
aurist : ars, uit
avails : aal, vis
awmous : amu, wos
awned : and, we
bairns : bin, ars
barmaids : brad, amis
baudrons : burn, ados
beakless : bals, ekes
beamless : bals, emes
beams : bas, em
beans : bas, en
beard : bad, er
bears : bas, er
beast : bat, es
beasts : bat, ess
beats : bas, et
been : be, en
beer : be, er
bees : be, es
beet : be, et
being : big, en
beings : big, ens
biont : bot, in
blain : ban, li
bleat : bet, la
bleats : bet, las
bloat : bot, la
bloats : bot, las
blood : bod, lo
bloop : bop, lo
board : bad, or
boars : bas, or
boart : bat, or
boast : bat, os
booed : bod, oe
boohoo : boo, oho
boohoos : boos, oho
boor : bo, or
boors : bos, or
boos : bo, os
boost : bot, os
bourg : bug, or
bourn : bun, or
bousy : buy, os
braes : bas, re
breath : bet, rah
breaths : bets, rah
bree : be, re
breed : bed, re
bries : bis, re
burring : brig, urn
bursa : bra, us
bursae : bra, use
carnies : cris, ane
cellules : clue, ells
chain : can, hi
chaine : can, hie
chains : can, his
chair : car, hi
chaired : card, hie
chairs : car, his
chaunt : can, hut
choired : cord, hie
choose : cos, hoe
chooses : coss, hoe
cions : cos, in
claim : cam, li
cloot : cot, lo
coapts : cat, ops
coast : cat, os
collude : clue, old
colludes : clue, olds
cooed : cod, oe
coombs : cob, oms
coopts : cot, ops
coulees : cues, ole
creeses : cess, ree
crouse : cos, rue
dean : da, en
dear : da, er
deary : day, er
deash : dah, es
death : dah, et
deems : des, em
deers : des, er
deism : dim, es
deisms : dim, ess
derry : dry, er
diaries : dais, ire
diodes : doe, ids
doers : des, or
doings : dig, ons
doolee : doe, ole
doolees : does, ole
door : do, or
doorless : dols, ores
dourness : duns, ores
douse : due, os
drees : des, re
dried : did, re
duets : des, ut
duos : do, us
easy : es, ay
effete : eft, fee
eloin : eon, li
engage : egg, nae
enrage : erg, nae
enrages : ergs, nae
enroots : eros, not
eons : en, os
erne : en, re
ernes : ens, re
erses : ess, re
etna : en, ta
etnas : ens, ta
faille : fil, ale
fear : fa, er
feat : fa, et
feint : fit, en
feints : fit, ens
feist : fit, es
feists : fit, ess
ferny : fry, en
ferry : fry, er
fiacre : far, ice
fiend : fed, in
flair : far, li
fleetness : fetes, lens
floor : for, lo
fluent : fun, let
fluid : fud, li
fluor : fur, lo
foehn : fen, oh
foist : fit, os
fordo : fro, od
founds : fud, ons
frae : fa, re
freed : fed, re
fried : fid, re
frieze : fiz, ree
furring : frig, urn
furrings : frig, urns
gangue : gnu, age
gangues : gnus, age
gaudy : guy, ad
gears : gas, er
geese : gee, es
geest : get, es
geests : get, ess
giant : gat, in
glair : gar, li
gleety : get, ley
gloat : got, la
gloats : got, las
goads : gas, od
goaled : gae, old
greed : ged, re
greet : get, re
gruel : gul, re
guans : gas, un
guest : get, us
haems : hes, am
healed : hae, eld
heard : had, er
hears : has, er
heart : hat, er
heath : hah, et
heats : has, et
heavier : hair, eve
heiled : hie, eld
heir : hi, er
heirs : his, er
hoard : had, or
hoars : has, or
hoary : hay, or
hoers : hes, or
hoise : hie, os
infest : ifs, net
infos : ifs, no
ions : in, os
joust : jut, os
kleig : keg, li
laid : li, ad
lairds : lid, ars
leakier : lair, eke
lean : la, en
leans : las, en
lear : la, er
lears : las, er
leary : lay, er
leas : la, es
leavier : lair, eve
leery : ley, er
leis : li, es
liefest : leet, ifs
liernes : lens, ire
lion : lo, in
load : la, od
loads : las, od
loos : lo, os
lounge : lug, one
maigre : mir, age
mean : ma, en
means : mas, en
meat : ma, et
meats : mas, et
meet : me, et
meikle : mil, eke
mien : me, in
moas : ma, os
moonset : most, one
moue : mu, oe
mounds : mud, ons
mounts : mut, ons
mourn : mun, or
naoi : no, ai
neon : no, en
neons : nos, en
odea : oe, da
oeuvre : our, eve
oghams : ohm, gas
oldest : ods, let
olea : oe, la
oleo : oe, lo
oohs : oh, os
orioles : oils, roe
ouds : od, us
ours : or, us
oust : os, ut
owse : os, we
pained : pie, and
paisas : pia, ass
palmy : ply, am
pardy : pry, ad
peakier : pair, eke
peakless : pals, ekes
peans : pas, en
pears : pas, er
peart : pat, er
peats : pas, et
peaty : pay, et
peeled : pee, eld
peen : pe, en
peens : pes, en
peer : pe, er
peers : pes, er
pees : pe, es
peins : pis, en
